demand_id,sequence_number,reservation_time,origin,destination,distance,anticipation_lag,availability_time,delivery_slack,due_time,category
K0001,1,0,C,D,1,3,3,9,12,F
K0002,2,0,C,B,1,2,2,10,12,P
K0003,3,0,C,E,2,4,4,10,14,P
K0004,4,0,C,D,1,3,3,9,12,R
K0005,5,0,B,D,2,4,4,11,15,P
K0006,6,0,C,B,1,2,2,9,11,F
K0007,7,0,A,C,2,2,2,10,12,F
K0008,8,0,D,E,1,2,2,10,12,R
K0009,9,0,B,A,1,3,3,10,13,P
K0010,10,0,B,C,1,1,1,8,9,P
K0011,11,1,B,A,1,3,4,9,13,F
K0012,12,1,D,A,3,3,4,11,15,R
K0013,13,1,C,B,1,1,2,9,11,R
K0014,14,1,C,A,2,3,4,10,14,P
K0015,15,1,E,C,2,4,5,11,16,P
K0016,16,1,B,E,3,4,5,12,17,P
K0017,17,1,A,D,3,3,4,12,16,R
K0018,18,1,D,A,3,4,5,11,16,R
K0019,19,1,C,E,2,3,4,9,13,P
K0020,20,1,B,A,1,1,2,8,10,F
K0021,21,2,D,C,1,3,5,9,14,R
K0022,22,2,C,E,2,3,5,9,14,R
K0023,23,2,D,E,1,1,3,10,13,R
K0024,24,2,B,E,3,5,7,12,19,P
K0025,25,2,E,A,4,6,8,13,21,R
K0026,26,2,D,B,2,2,4,11,15,F
K0027,27,2,E,C,2,3,5,9,14,P
K0028,28,2,B,E,3,5,7,11,18,F
K0029,29,2,A,B,1,1,3,8,11,P
K0030,30,2,D,B,2,2,4,9,13,P
K0031,31,3,A,E,4,6,9,11,20,R
K0032,32,3,B,A,1,1,4,9,13,F
K0033,33,3,C,B,1,3,6,9,15,R
K0034,34,3,B,C,1,1,4,10,14,R
K0035,35,3,D,B,2,3,6,9,15,F
K0036,36,3,D,C,1,3,6,8,14,P
K0037,37,3,B,A,1,1,4,10,14,F
K0038,38,3,E,B,3,5,8,12,20,P
K0039,39,3,C,A,2,2,5,11,16,R
K0040,40,3,E,D,1,1,4,10,14,R
K0041,41,4,B,A,1,3,7,10,17,R
K0042,42,4,D,A,3,3,7,11,18,R
K0043,43,4,C,E,2,3,7,11,18,P
K0044,44,4,B,C,1,2,6,8,14,P
K0045,45,4,E,B,3,3,7,12,19,R
K0046,46,4,E,C,2,2,6,11,17,P
K0047,47,4,C,D,1,1,5,10,15,P
K0048,48,4,A,D,3,3,7,12,19,F
K0049,49,4,C,A,2,4,8,11,19,P
K0050,50,4,A,E,4,5,9,13,22,F
K0051,51,5,C,E,2,4,9,9,18,R
K0052,52,5,B,D,2,2,7,11,18,P
K0053,53,5,C,D,1,2,7,10,17,P
K0054,54,5,A,D,3,5,10,10,20,R
K0055,55,5,A,B,1,2,7,10,17,P
K0056,56,5,B,E,3,5,10,11,21,F
K0057,57,5,A,D,3,5,10,12,22,R
K0058,58,5,B,D,2,2,7,9,16,R
K0059,59,5,C,E,2,4,9,11,20,R
K0060,60,5,E,D,1,1,6,9,15,P
K0061,61,6,A,B,1,3,9,9,18,R
K0062,62,6,C,D,1,3,9,10,19,F
K0063,63,6,D,A,3,5,11,11,22,P
K0064,64,6,C,D,1,3,9,8,17,P
K0065,65,6,A,B,1,3,9,10,19,F
K0066,66,6,C,E,2,4,10,11,21,P
K0067,67,6,D,A,3,5,11,10,21,F
K0068,68,6,B,E,3,5,11,11,22,P
K0069,69,6,A,D,3,4,10,12,22,R
K0070,70,6,B,C,1,3,9,8,17,F
K0071,71,7,B,E,3,3,10,10,20,F
K0072,72,7,D,B,2,3,10,10,20,P
K0073,73,7,E,B,3,4,11,12,23,R
K0074,74,7,A,E,4,4,11,11,22,R
K0075,75,7,D,E,1,3,10,8,18,P
K0076,76,7,A,D,3,4,11,12,23,R
K0077,77,7,B,D,2,4,11,10,21,F
K0078,78,7,D,B,2,2,9,10,19,F
K0079,79,7,D,A,3,3,10,11,21,P
K0080,80,7,C,E,2,4,11,9,20,F
K0081,81,8,C,A,2,3,11,9,20,R
K0082,82,8,C,E,2,2,10,10,20,P
K0083,83,8,E,C,2,3,11,10,21,P
K0084,84,8,E,C,2,4,12,10,22,P
K0085,85,8,C,D,1,3,11,10,21,P
K0086,86,8,A,B,1,1,9,9,18,F
K0087,87,8,C,A,2,4,12,9,21,P
K0088,88,8,D,B,2,4,12,10,22,R
K0089,89,8,E,C,2,3,11,9,20,P
K0090,90,8,A,D,3,3,11,11,22,P
K0091,91,9,D,A,3,4,13,10,23,P
K0092,92,9,A,C,2,4,13,11,24,R
K0093,93,9,E,D,1,2,11,8,19,F
K0094,94,9,D,B,2,4,13,10,23,P
K0095,95,9,E,D,1,1,10,10,20,R
K0096,96,9,A,B,1,1,10,9,19,P
K0097,97,9,E,C,2,2,11,10,21,P
K0098,98,9,A,C,2,2,11,9,20,P
K0099,99,9,C,D,1,3,12,10,22,F
K0100,100,9,D,A,3,4,13,10,23,R
K0101,101,10,B,D,2,2,12,9,21,P
K0102,102,10,A,D,3,3,13,10,23,P
K0103,103,10,B,E,3,4,14,11,25,F
K0104,104,10,E,D,1,2,12,8,20,F
K0105,105,10,E,C,2,2,12,11,23,R
K0106,106,10,E,A,4,6,16,13,29,R
K0107,107,10,C,E,2,4,14,11,25,P
K0108,108,10,A,B,1,1,11,8,19,P
K0109,109,10,A,E,4,5,15,13,28,P
K0110,110,10,D,A,3,3,13,12,25,P
K0111,111,11,D,A,3,4,15,11,26,F
K0112,112,11,A,D,3,3,14,12,26,P
K0113,113,11,A,C,2,2,13,11,24,R
K0114,114,11,C,B,1,1,12,8,20,F
K0115,115,11,D,E,1,2,13,10,23,F
K0116,116,11,B,D,2,2,13,10,23,R
K0117,117,11,B,D,2,2,13,10,23,R
K0118,118,11,A,E,4,4,15,12,27,P
K0119,119,11,A,D,3,5,16,10,26,R
K0120,120,11,B,E,3,4,15,10,25,P
K0121,121,12,E,B,3,4,16,11,27,R
K0122,122,12,D,B,2,4,16,11,27,F
K0123,123,12,C,B,1,1,13,8,21,F
K0124,124,12,E,B,3,5,17,11,28,F
K0125,125,12,B,C,1,1,13,9,22,R
K0126,126,12,A,C,2,2,14,11,25,P
K0127,127,12,B,E,3,4,16,10,26,F
K0128,128,12,E,C,2,3,15,9,24,F
K0129,129,12,A,D,3,3,15,12,27,R
K0130,130,12,D,E,1,2,14,9,23,R
K0131,131,13,D,C,1,2,15,9,24,F
K0132,132,13,A,B,1,1,14,10,24,F
K0133,133,13,B,E,3,3,16,10,26,R
K0134,134,13,B,E,3,5,18,10,28,F
K0135,135,13,A,E,4,5,18,11,29,P
K0136,136,13,E,C,2,3,16,11,27,F
K0137,137,13,D,E,1,2,15,10,25,P
K0138,138,13,A,C,2,3,16,11,27,R
K0139,139,13,B,D,2,4,17,10,27,F
K0140,140,13,D,A,3,3,16,10,26,P
