demand_id,volume,origin,destination,reservation_time,availability_time,due_time,category,fare_per_teu
K0002,1.0,A,C,0,2,13,P,250.0
K0005,1.0,E,A,0,4,15,R,625.0
K0006,1.0,C,B,0,2,11,F,100.0
K0007,1.0,E,C,0,4,14,F,200.0
K0008,2.0,E,B,0,3,13,R,468.75
K0009,2.0,E,C,0,3,13,R,200.0
K0010,2.0,A,D,0,5,16,P,300.0
K0012,1.0,C,A,1,4,14,P,200.0
K0013,1.0,E,B,1,4,15,P,375.0
K0015,1.0,C,A,1,5,14,P,250.0
K0016,1.0,A,D,1,4,15,P,375.0
K0018,2.0,E,A,1,6,19,R,400.0
K0020,1.0,D,B,1,3,13,P,250.0
K0026,2.0,A,E,2,6,18,F,500.0
K0028,2.0,C,A,2,4,14,F,250.0
K0030,2.0,A,D,2,6,16,R,375.0
K0031,1.0,B,A,3,5,13,F,125.0
K0032,2.0,C,B,3,5,14,F,100.0
K0034,1.0,C,E,3,5,14,P,312.5
K0035,2.0,C,A,3,6,15,P,250.0
K0036,1.0,A,D,3,6,16,R,468.75
K0038,1.0,D,B,3,7,17,R,200.0
K0040,1.0,E,C,3,6,16,F,200.0
K0041,1.0,B,C,4,6,14,F,125.0
K0043,1.0,E,A,4,10,23,R,400.0
K0045,1.0,E,A,4,9,20,F,500.0
K0050,1.0,C,A,4,7,18,P,200.0
K0051,1.0,D,E,5,7,16,F,100.0
K0053,2.0,D,B,5,7,16,F,312.5
K0054,1.0,A,C,5,7,16,R,312.5
K0055,1.0,B,D,5,9,20,P,200.0
K0056,1.0,E,B,5,8,19,F,375.0
K0057,1.0,E,C,5,8,17,P,250.0
K0058,1.0,A,D,5,9,20,R,300.0
K0059,1.0,B,C,5,7,16,P,100.0
K0060,2.0,B,C,5,8,17,R,100.0
K0062,1.0,C,E,6,8,19,F,250.0
K0064,1.0,B,E,6,9,19,F,468.75
K0066,1.0,E,C,6,9,20,F,200.0
K0068,1.0,C,E,6,9,18,P,250.0
K0069,1.0,C,B,6,8,16,P,125.0
K0070,2.0,D,E,6,8,18,F,100.0
K0071,2.0,B,E,7,11,22,P,300.0
K0072,1.0,B,A,7,10,20,P,100.0
K0073,1.0,C,B,7,9,19,P,100.0
K0074,2.0,B,A,7,9,19,P,100.0
K0076,1.0,D,B,7,9,19,R,250.0
K0077,2.0,E,A,7,13,25,P,400.0
K0078,1.0,A,D,7,10,22,R,375.0
K0079,2.0,C,D,7,9,19,R,100.0
K0080,2.0,C,A,7,9,20,R,250.0
K0081,1.0,C,A,8,10,20,R,250.0
K0082,1.0,A,D,8,12,23,F,300.0
K0083,2.0,C,A,8,10,20,R,250.0
K0084,1.0,E,B,8,13,24,F,300.0
K0085,1.0,D,B,8,12,21,F,250.0
K0087,2.0,C,A,8,10,19,R,312.5
K0089,1.0,B,A,8,11,21,F,100.0
K0090,2.0,B,D,8,12,22,F,200.0
K0091,2.0,C,B,9,12,22,P,100.0
K0092,1.0,E,D,9,12,20,F,125.0
K0093,2.0,B,A,9,11,20,P,100.0
K0094,1.0,C,E,9,11,21,P,250.0
K0095,1.0,D,B,9,13,22,P,250.0
K0096,1.0,E,D,9,12,22,R,100.0
K0097,1.0,D,E,9,11,19,R,125.0
K0098,1.0,B,D,9,12,22,R,200.0
K0099,1.0,E,A,9,14,26,F,400.0
K0100,1.0,D,C,9,12,22,R,100.0
K0101,1.0,A,B,10,12,22,F,100.0
K0102,2.0,C,A,10,13,24,F,200.0
K0103,1.0,E,C,10,14,24,F,200.0
K0106,2.0,A,C,10,14,23,P,250.0
K0107,2.0,D,C,10,13,23,F,100.0
K0112,1.0,E,D,11,14,22,R,125.0
K0115,1.0,A,C,11,14,25,R,200.0
K0116,1.0,A,B,11,12,22,R,125.0
K0118,2.0,E,D,11,13,23,F,100.0
K0119,1.0,D,E,11,14,23,R,100.0
K0121,2.0,C,A,12,16,25,P,250.0
K0123,1.0,B,D,12,14,23,F,312.5
K0124,1.0,D,B,12,16,27,R,200.0
K0125,1.0,C,E,12,14,24,P,250.0
K0126,2.0,D,E,12,15,23,R,125.0
K0127,2.0,B,A,12,15,23,P,125.0
K0128,1.0,B,C,12,13,22,P,125.0
K0129,2.0,E,B,12,15,25,P,468.75
K0130,2.0,A,B,12,15,24,R,100.0
K0131,1.0,A,D,13,18,29,F,300.0
K0132,1.0,B,D,13,16,26,R,200.0
K0133,2.0,A,D,13,17,29,R,300.0
K0134,2.0,B,D,13,15,25,F,250.0
K0135,1.0,C,D,13,16,24,F,125.0
K0136,1.0,B,A,13,15,23,P,125.0
K0137,1.0,D,A,13,18,30,R,300.0
K0139,1.0,B,C,13,14,22,R,156.25
K0140,1.0,A,B,13,16,24,R,125.0
