demand_id,sequence_number,reservation_time,origin,destination,distance,anticipation_lag,availability_time,delivery_slack,due_time,category
K0001,1,0,E,B,3,3,3,12,15,P
K0002,2,0,A,C,2,4,4,11,15,F
K0003,3,0,E,A,4,5,5,11,16,F
K0004,4,0,D,C,1,2,2,9,11,P
K0005,5,0,E,D,1,2,2,8,10,F
K0006,6,0,E,C,2,4,4,11,15,P
K0007,7,0,B,A,1,3,3,9,12,R
K0008,8,0,B,C,1,3,3,10,13,P
K0009,9,0,C,A,2,2,2,10,12,F
K0010,10,0,E,C,2,3,3,10,13,P
K0011,11,1,E,A,4,4,5,12,17,P
K0012,12,1,C,B,1,3,4,10,14,P
K0013,13,1,E,B,3,4,5,11,16,F
K0014,14,1,D,B,2,3,4,11,15,F
K0015,15,1,E,D,1,3,4,8,12,R
K0016,16,1,D,B,2,2,3,11,14,R
K0017,17,1,C,A,2,4,5,10,15,F
K0018,18,1,A,B,1,2,3,8,11,P
K0019,19,1,E,C,2,3,4,10,14,R
K0020,20,1,D,A,3,4,5,10,15,R
K0021,21,2,D,C,1,2,4,8,12,R
K0022,22,2,B,A,1,3,5,10,15,P
K0023,23,2,E,A,4,6,8,13,21,F
K0024,24,2,C,D,1,3,5,10,15,F
K0025,25,2,E,C,2,3,5,10,15,F
K0026,26,2,E,A,4,4,6,13,19,F
K0027,27,2,A,B,1,3,5,9,14,F
K0028,28,2,A,E,4,5,7,11,18,P
K0029,29,2,A,C,2,4,6,10,16,R
K0030,30,2,E,B,3,4,6,11,17,P
K0031,31,3,C,D,1,2,5,9,14,F
K0032,32,3,E,A,4,5,8,11,19,P
K0033,33,3,A,C,2,4,7,9,16,R
K0034,34,3,A,E,4,4,7,12,19,P
K0035,35,3,B,C,1,2,5,10,15,P
K0036,36,3,A,B,1,3,6,10,16,P
K0037,37,3,A,C,2,3,6,10,16,F
K0038,38,3,A,D,3,4,7,10,17,R
K0039,39,3,E,C,2,2,5,11,16,P
K0040,40,3,A,D,3,4,7,10,17,R
K0041,41,4,C,B,1,2,6,10,16,R
K0042,42,4,B,D,2,2,6,11,17,R
K0043,43,4,C,D,1,3,7,10,17,F
K0044,44,4,D,C,1,1,5,10,15,F
K0045,45,4,E,D,1,1,5,10,15,P
K0046,46,4,C,D,1,3,7,10,17,R
K0047,47,4,D,C,1,1,5,8,13,R
K0048,48,4,E,B,3,4,8,11,19,P
K0049,49,4,B,A,1,1,5,8,13,F
K0050,50,4,E,A,4,4,8,11,19,P
K0051,51,5,A,C,2,2,7,10,17,R
K0052,52,5,E,B,3,5,10,10,20,P
K0053,53,5,D,C,1,3,8,10,18,P
K0054,54,5,A,B,1,2,7,9,16,R
K0055,55,5,C,B,1,2,7,10,17,F
K0056,56,5,B,A,1,2,7,9,16,P
K0057,57,5,D,C,1,3,8,8,16,R
K0058,58,5,C,E,2,2,7,11,18,R
K0059,59,5,B,A,1,1,6,10,16,R
K0060,60,5,D,E,1,1,6,9,15,P
K0061,61,6,A,B,1,3,9,8,17,P
K0062,62,6,E,D,1,2,8,9,17,F
K0063,63,6,C,A,2,3,9,9,18,R
K0064,64,6,D,E,1,1,7,10,17,F
K0065,65,6,C,B,1,2,8,10,18,F
K0066,66,6,A,E,4,6,12,13,25,F
K0067,67,6,A,D,3,5,11,12,23,R
