demand_id,sequence_number,reservation_time,origin,destination,distance,anticipation_lag,availability_time,delivery_slack,due_time,category
K0001,1,0,A,C,2,2,2,11,13,P
K0002,2,0,A,C,2,2,2,11,13,P
K0003,3,0,D,A,3,3,3,12,15,P
K0004,4,0,A,C,2,2,2,9,11,F
K0005,5,0,E,A,4,4,4,11,15,R
K0006,6,0,C,B,1,2,2,9,11,F
K0007,7,0,E,C,2,4,4,10,14,F
K0008,8,0,E,B,3,3,3,10,13,R
K0009,9,0,E,C,2,3,3,10,13,R
K0010,10,0,A,D,3,5,5,11,16,P
K0011,11,1,E,D,1,1,2,8,10,P
K0012,12,1,C,A,2,3,4,10,14,P
K0013,13,1,E,B,3,3,4,11,15,P
K0014,14,1,C,E,2,4,5,9,14,R
K0015,15,1,C,A,2,4,5,9,14,P
K0016,16,1,A,D,3,3,4,11,15,P
K0017,17,1,D,B,2,3,4,9,13,R
K0018,18,1,E,A,4,5,6,13,19,R
K0019,19,1,B,A,1,2,3,9,12,P
K0020,20,1,D,B,2,2,3,10,13,P
K0021,21,2,A,B,1,3,5,10,15,R
K0022,22,2,A,E,4,4,6,13,19,R
K0023,23,2,B,E,3,4,6,10,16,R
K0024,24,2,C,B,1,1,3,10,13,R
K0025,25,2,B,E,3,3,5,10,15,R
K0026,26,2,A,E,4,4,6,12,18,F
K0027,27,2,A,E,4,5,7,13,20,R
K0028,28,2,C,A,2,2,4,10,14,F
K0029,29,2,A,C,2,2,4,9,13,F
K0030,30,2,A,D,3,4,6,10,16,R
K0031,31,3,B,A,1,2,5,8,13,F
K0032,32,3,C,B,1,2,5,9,14,F
K0033,33,3,E,D,1,3,6,9,15,P
K0034,34,3,C,E,2,2,5,9,14,P
K0035,35,3,C,A,2,3,6,9,15,P
K0036,36,3,A,D,3,3,6,10,16,R
K0037,37,3,D,A,3,4,7,10,17,F
K0038,38,3,D,B,2,4,7,10,17,R
K0039,39,3,D,C,1,1,4,8,12,F
K0040,40,3,E,C,2,3,6,10,16,F
K0041,41,4,B,C,1,2,6,8,14,F
K0042,42,4,E,A,4,5,9,13,22,P
K0043,43,4,E,A,4,6,10,13,23,R
K0044,44,4,D,C,1,1,5,8,13,F
K0045,45,4,E,A,4,5,9,11,20,F
K0046,46,4,D,A,3,5,9,10,19,P
K0047,47,4,C,E,2,4,8,10,18,F
K0048,48,4,B,D,2,2,6,11,17,F
K0049,49,4,E,B,3,3,7,11,18,R
K0050,50,4,C,A,2,3,7,11,18,P
K0051,51,5,D,E,1,2,7,9,16,F
K0052,52,5,B,E,3,3,8,11,19,P
K0053,53,5,D,B,2,2,7,9,16,F
K0054,54,5,A,C,2,2,7,9,16,R
K0055,55,5,B,D,2,4,9,11,20,P
K0056,56,5,E,B,3,3,8,11,19,F
K0057,57,5,E,C,2,3,8,9,17,P
K0058,58,5,A,D,3,4,9,11,20,R
K0059,59,5,B,C,1,2,7,9,16,P
K0060,60,5,B,C,1,3,8,9,17,R
K0061,61,6,A,D,3,5,11,11,22,P
K0062,62,6,C,E,2,2,8,11,19,F
K0063,63,6,E,B,3,4,10,12,22,F
K0064,64,6,B,E,3,3,9,10,19,F
K0065,65,6,E,B,3,4,10,12,22,R
K0066,66,6,E,C,2,3,9,11,20,F
K0067,67,6,A,B,1,2,8,10,18,R
K0068,68,6,C,E,2,3,9,9,18,P
K0069,69,6,C,B,1,2,8,8,16,P
K0070,70,6,D,E,1,2,8,10,18,F
K0071,71,7,B,E,3,4,11,11,22,P
K0072,72,7,B,A,1,3,10,10,20,P
K0073,73,7,C,B,1,2,9,10,19,P
K0074,74,7,B,A,1,2,9,10,19,P
K0075,75,7,C,B,1,3,10,9,19,F
K0076,76,7,D,B,2,2,9,10,19,R
K0077,77,7,E,A,4,6,13,12,25,P
