demand_id,sequence_number,reservation_time,origin,destination,distance,anticipation_lag,availability_time,delivery_slack,due_time,category
K0001,1,0,B,E,3,5,5,10,15,P
K0002,2,0,E,A,4,4,4,12,16,F
K0003,3,0,C,B,1,1,1,8,9,R
K0004,4,0,C,B,1,2,2,8,10,R
K0005,5,0,D,B,2,2,2,10,12,R
K0006,6,0,C,B,1,3,3,10,13,R
K0007,7,0,E,C,2,2,2,11,13,P
K0008,8,0,B,A,1,1,1,10,11,R
K0009,9,0,C,D,1,3,3,9,12,R
K0010,10,0,D,A,3,5,5,10,15,R
K0011,11,1,C,A,2,4,5,10,15,P
K0012,12,1,C,A,2,2,3,11,14,F
K0013,13,1,A,D,3,5,6,10,16,R
K0014,14,1,A,B,1,1,2,9,11,R
K0015,15,1,D,E,1,2,3,10,13,R
K0016,16,1,A,E,4,5,6,12,18,P
K0017,17,1,A,B,1,3,4,10,14,P
K0018,18,1,A,D,3,5,6,12,18,F
K0019,19,1,B,C,1,2,3,8,11,R
K0020,20,1,C,B,1,2,3,9,12,F
K0021,21,2,C,D,1,2,4,9,13,R
K0022,22,2,E,D,1,1,3,8,11,R
K0023,23,2,C,E,2,4,6,11,17,R
K0024,24,2,D,A,3,4,6,11,17,F
K0025,25,2,B,C,1,1,3,8,11,R
K0026,26,2,D,A,3,3,5,10,15,F
K0027,27,2,E,C,2,2,4,9,13,F
K0028,28,2,E,D,1,3,5,10,15,F
K0029,29,2,B,E,3,3,5,11,16,P
K0030,30,2,E,A,4,5,7,13,20,F
K0031,31,3,D,E,1,3,6,9,15,P
K0032,32,3,D,B,2,4,7,10,17,R
K0033,33,3,C,A,2,3,6,9,15,F
K0034,34,3,C,A,2,2,5,9,14,F
K0035,35,3,D,C,1,2,5,10,15,F
K0036,36,3,C,E,2,3,6,11,17,P
K0037,37,3,A,E,4,6,9,12,21,P
K0038,38,3,B,E,3,5,8,11,19,R
K0039,39,3,C,E,2,4,7,9,16,R
K0040,40,3,B,E,3,4,7,10,17,F
K0041,41,4,C,B,1,1,5,9,14,F
K0042,42,4,D,E,1,1,5,9,14,R
K0043,43,4,A,C,2,2,6,10,16,R
K0044,44,4,C,A,2,2,6,9,15,F
K0045,45,4,B,D,2,2,6,10,16,R
K0046,46,4,D,E,1,3,7,9,16,P
K0047,47,4,B,A,1,2,6,10,16,F
K0048,48,4,B,A,1,3,7,8,15,F
K0049,49,4,E,C,2,2,6,10,16,P
K0050,50,4,D,E,1,1,5,10,15,F
K0051,51,5,D,C,1,3,8,9,17,F
K0052,52,5,E,C,2,2,7,10,17,F
K0053,53,5,C,D,1,1,6,10,16,F
K0054,54,5,B,C,1,3,8,10,18,R
K0055,55,5,A,D,3,4,9,11,20,F
K0056,56,5,D,C,1,3,8,8,16,P
K0057,57,5,A,B,1,2,7,9,16,F
K0058,58,5,C,D,1,2,7,10,17,R
K0059,59,5,B,D,2,4,9,11,20,P
K0060,60,5,A,C,2,2,7,9,16,P
K0061,61,6,B,D,2,2,8,11,19,F
K0062,62,6,D,E,1,2,8,9,17,P
K0063,63,6,B,D,2,2,8,10,18,F
K0064,64,6,A,B,1,3,9,10,19,F
K0065,65,6,B,C,1,3,9,10,19,P
K0066,66,6,E,A,4,4,10,12,22,P
K0067,67,6,C,B,1,3,9,9,18,R
K0068,68,6,C,A,2,4,10,10,20,P
K0069,69,6,E,B,3,3,9,11,20,P
K0070,70,6,D,A,3,3,9,10,19,P
K0071,71,7,B,C,1,1,8,8,16,P
K0072,72,7,B,D,2,4,11,9,20,F
K0073,73,7,E,B,3,5,12,11,23,P
K0074,74,7,A,C,2,4,11,10,21,F
K0075,75,7,B,E,3,3,10,12,22,P
K0076,76,7,D,E,1,1,8,8,16,F
K0077,77,7,D,B,2,3,10,10,20,F
K0078,78,7,A,B,1,2,9,10,19,F
K0079,79,7,C,E,2,4,11,11,22,R
K0080,80,7,D,C,1,2,9,10,19,P
K0081,81,8,E,D,1,3,11,9,20,F
K0082,82,8,B,C,1,1,9,10,19,P
K0083,83,8,B,A,1,3,11,10,21,R
K0084,84,8,E,B,3,3,11,10,21,P
K0085,85,8,D,A,3,4,12,12,24,F
K0086,86,8,C,B,1,3,11,10,21,P
K0087,87,8,C,D,1,1,9,8,17,F
K0088,88,8,D,B,2,2,10,10,20,P
K0089,89,8,C,A,2,4,12,11,23,R
K0090,90,8,B,C,1,3,11,8,19,P
K0091,91,9,E,A,4,5,14,13,27,R
K0092,92,9,E,A,4,5,14,13,27,R
K0093,93,9,D,B,2,2,11,9,20,F
K0094,94,9,C,B,1,1,10,9,19,F
K0095,95,9,B,A,1,2,11,8,19,P
K0096,96,9,D,A,3,3,12,11,23,P
K0097,97,9,A,D,3,4,13,10,23,R
K0098,98,9,B,A,1,1,10,8,18,P
K0099,99,9,C,E,2,4,13,11,24,P
K0100,100,9,B,C,1,3,12,10,22,P
K0101,101,10,A,E,4,5,15,11,26,F
K0102,102,10,C,E,2,4,14,10,24,P
K0103,103,10,E,C,2,3,13,10,23,F
K0104,104,10,D,A,3,4,14,12,26,P
K0105,105,10,B,A,1,3,13,8,21,F
K0106,106,10,C,B,1,1,11,10,21,R
K0107,107,10,D,E,1,2,12,8,20,F
K0108,108,10,B,A,1,3,13,8,21,F
K0109,109,10,B,C,1,1,11,8,19,F
K0110,110,10,C,D,1,3,13,9,22,R
K0111,111,11,A,B,1,3,14,8,22,P
K0112,112,11,A,D,3,5,16,10,26,P
K0113,113,11,D,B,2,2,13,11,24,P
K0114,114,11,E,B,3,5,16,12,28,F
K0115,115,11,B,C,1,1,12,8,20,F
K0116,116,11,C,A,2,3,14,9,23,P
K0117,117,11,A,C,2,3,14,11,25,F
K0118,118,11,A,C,2,2,13,9,22,P
K0119,119,11,D,A,3,3,14,10,24,R
K0120,120,11,B,D,2,4,15,11,26,P
K0121,121,12,A,E,4,6,18,12,30,P
K0122,122,12,C,B,1,1,13,10,23,F
K0123,123,12,B,E,3,4,16,12,28,P
K0124,124,12,C,D,1,1,13,10,23,P
K0125,125,12,A,E,4,4,16,12,28,F
K0126,126,12,C,E,2,3,15,9,24,P
K0127,127,12,E,D,1,2,14,8,22,P
K0128,128,12,D,A,3,4,16,11,27,F
K0129,129,12,E,D,1,2,14,10,24,F
K0130,130,12,A,D,3,4,16,12,28,R
K0131,131,13,B,A,1,3,16,8,24,R
K0132,132,13,D,A,3,3,16,12,28,F
K0133,133,13,B,D,2,2,15,11,26,F
K0134,134,13,C,D,1,3,16,9,25,F
K0135,135,13,A,D,3,4,17,10,27,R
K0136,136,13,D,E,1,3,16,9,25,R
K0137,137,13,E,D,1,2,15,8,23,F
K0138,138,13,D,A,3,5,18,11,29,P
K0139,139,13,D,A,3,5,18,10,28,P
K0140,140,13,E,A,4,5,18,11,29,R
