demand_id,volume,origin,destination,reservation_time,availability_time,due_time,category,fare_per_teu
K0002,2.0,E,B,0,5,15,P,375.0
K0003,1.0,A,E,0,6,17,F,500.0
K0004,1.0,A,B,0,2,10,F,125.0
K0005,2.0,D,B,0,4,15,P,200.0
K0007,1.0,B,E,0,4,16,P,300.0
K0010,2.0,E,A,0,4,15,R,625.0
K0011,2.0,A,D,1,6,17,P,300.0
K0012,1.0,B,D,1,4,15,R,200.0
K0013,1.0,A,C,1,3,14,F,250.0
K0014,2.0,A,E,1,7,19,P,400.0
K0015,1.0,B,A,1,2,12,P,125.0
K0017,2.0,B,C,1,3,11,P,125.0
K0018,1.0,C,D,1,4,12,R,125.0
K0019,1.0,D,C,1,3,12,F,100.0
K0022,1.0,C,D,2,3,11,P,156.25
K0023,1.0,B,E,2,5,17,P,375.0
K0024,2.0,D,B,2,4,15,P,250.0
K0025,1.0,E,B,2,7,18,R,300.0
K0027,1.0,A,B,2,5,15,R,100.0
K0029,1.0,D,C,2,3,12,F,125.0
K0030,1.0,E,B,2,6,16,F,375.0
K0032,1.0,B,C,3,5,14,P,100.0
K0033,1.0,B,A,3,5,13,R,125.0
K0035,1.0,D,E,3,6,14,P,125.0
K0039,1.0,E,A,3,7,20,R,500.0
K0041,1.0,D,E,4,7,17,R,100.0
K0045,1.0,C,E,4,8,18,R,200.0
K0046,1.0,D,E,4,7,17,F,100.0
K0048,2.0,C,A,4,8,17,P,250.0
K0049,1.0,B,D,4,6,15,P,312.5
K0050,1.0,C,E,4,8,19,R,200.0
K0054,1.0,B,A,5,6,15,P,125.0
K0055,1.0,E,D,5,8,18,P,100.0
K0056,1.0,A,E,5,10,23,R,400.0
K0057,1.0,E,C,5,7,16,F,312.5
K0058,1.0,E,A,5,9,22,P,500.0
K0059,2.0,D,C,5,6,15,P,125.0
K0062,2.0,E,D,6,9,19,F,100.0
K0063,1.0,D,C,6,8,18,F,100.0
K0068,1.0,A,B,6,8,17,F,100.0
K0069,1.0,C,D,6,7,15,F,156.25
K0074,1.0,D,C,7,10,18,P,125.0
K0075,1.0,D,E,7,9,17,R,125.0
K0076,1.0,E,C,7,10,20,F,200.0
K0078,1.0,B,C,7,9,18,F,100.0
K0080,1.0,E,B,7,12,23,F,300.0
K0081,2.0,E,B,8,13,25,F,300.0
K0084,1.0,A,C,8,12,22,R,200.0
K0088,2.0,C,B,8,10,19,R,100.0
K0090,1.0,E,B,8,11,23,R,375.0
K0092,1.0,E,D,9,11,20,R,100.0
K0094,1.0,A,C,9,13,23,R,200.0
K0095,1.0,E,C,9,13,24,P,200.0
K0098,2.0,B,C,9,10,19,F,125.0
K0101,2.0,E,A,10,14,27,R,500.0
K0102,1.0,E,D,10,11,20,R,125.0
K0103,2.0,D,C,10,13,23,F,100.0
K0104,1.0,C,A,10,13,23,F,200.0
K0106,2.0,B,A,10,11,19,F,156.25
K0107,1.0,C,E,10,14,24,R,200.0
K0108,1.0,E,A,10,14,26,F,500.0
K0110,1.0,B,E,10,13,23,F,468.75
K0112,2.0,D,E,11,14,22,P,125.0
K0113,1.0,E,A,11,16,28,F,400.0
K0114,1.0,E,C,11,13,24,P,250.0
K0116,1.0,A,B,11,12,22,P,125.0
K0117,1.0,B,C,11,12,20,R,156.25
K0120,2.0,E,D,11,14,22,F,125.0
K0121,2.0,C,D,12,15,23,P,125.0
K0123,1.0,C,E,12,14,23,P,312.5
K0125,1.0,D,C,12,13,23,R,125.0
K0126,1.0,E,A,12,17,28,R,500.0
K0129,1.0,C,B,12,13,22,R,125.0
K0130,1.0,E,C,12,16,26,R,200.0
K0132,1.0,A,B,13,16,26,F,100.0
K0133,2.0,D,A,13,18,30,F,300.0
K0134,1.0,A,D,13,17,27,P,375.0
K0135,1.0,B,C,13,16,24,P,125.0
K0137,1.0,D,E,13,15,24,P,100.0
K0139,1.0,E,A,13,18,29,P,500.0
K0140,2.0,E,B,13,17,28,F,300.0
