demand_id,volume,origin,destination,reservation_time,availability_time,due_time,category,fare_per_teu
K0001,2.0,C,D,0,3,12,F,100.0
K0003,1.0,C,E,0,4,14,P,200.0
K0004,1.0,C,D,0,3,12,R,100.0
K0006,2.0,C,B,0,2,11,F,100.0
K0007,1.0,A,C,0,2,12,F,250.0
K0008,1.0,D,E,0,2,12,R,100.0
K0009,2.0,B,A,0,3,13,P,100.0
K0010,2.0,B,C,0,1,9,P,156.25
K0011,2.0,B,A,1,4,13,F,100.0
K0012,2.0,D,A,1,4,15,R,375.0
K0013,1.0,C,B,1,2,11,R,125.0
K0014,1.0,C,A,1,4,14,P,200.0
K0015,1.0,E,C,1,5,16,P,200.0
K0016,2.0,B,E,1,5,17,P,300.0
K0020,2.0,B,A,1,2,10,F,156.25
K0022,1.0,C,E,2,5,14,R,250.0
K0023,1.0,D,E,2,3,13,R,125.0
K0025,1.0,E,A,2,8,21,R,400.0
K0026,2.0,D,B,2,4,15,F,250.0
K0029,1.0,A,B,2,3,11,P,156.25
K0030,1.0,D,B,2,4,13,P,312.5
K0031,1.0,A,E,3,9,20,R,500.0
K0032,1.0,B,A,3,4,13,F,125.0
K0033,1.0,C,B,3,6,15,R,100.0
K0034,1.0,B,C,3,4,14,R,125.0
K0035,1.0,D,B,3,6,15,F,250.0
K0036,1.0,D,C,3,6,14,P,125.0
K0040,2.0,E,D,3,4,14,R,125.0
K0041,2.0,B,A,4,7,17,R,100.0
K0043,1.0,C,E,4,7,18,P,200.0
K0044,1.0,B,C,4,6,14,P,125.0
K0046,1.0,E,C,4,6,17,P,250.0
K0047,1.0,C,D,4,5,15,P,125.0
K0048,1.0,A,D,4,7,19,F,375.0
K0049,1.0,C,A,4,8,19,P,200.0
K0050,1.0,A,E,4,9,22,F,400.0
K0051,2.0,C,E,5,9,18,R,250.0
K0053,2.0,C,D,5,7,17,P,100.0
K0054,1.0,A,D,5,10,20,R,375.0
K0056,1.0,B,E,5,10,21,F,300.0
K0058,1.0,B,D,5,7,16,R,312.5
K0059,1.0,C,E,5,9,20,R,200.0
K0061,2.0,A,B,6,9,18,R,100.0
K0062,1.0,C,D,6,9,19,F,100.0
K0063,2.0,D,A,6,11,22,P,300.0
K0065,1.0,A,B,6,9,19,F,100.0
K0066,2.0,C,E,6,10,21,P,200.0
K0068,1.0,B,E,6,11,22,P,300.0
K0074,1.0,A,E,7,11,22,R,625.0
K0075,2.0,D,E,7,10,18,P,125.0
K0076,2.0,A,D,7,11,23,R,300.0
K0077,1.0,B,D,7,11,21,F,200.0
K0078,1.0,D,B,7,9,19,F,250.0
K0080,2.0,C,E,7,11,20,F,250.0
K0083,1.0,E,C,8,11,21,P,200.0
K0084,1.0,E,C,8,12,22,P,200.0
K0086,2.0,A,B,8,9,18,F,125.0
K0087,1.0,C,A,8,12,21,P,250.0
K0088,1.0,D,B,8,12,22,R,200.0
K0090,2.0,A,D,8,11,22,P,375.0
K0091,2.0,D,A,9,13,23,P,375.0
K0092,1.0,A,C,9,13,24,R,200.0
K0093,2.0,E,D,9,11,19,F,125.0
K0094,1.0,D,B,9,13,23,P,200.0
K0095,2.0,E,D,9,10,20,R,125.0
K0096,2.0,A,B,9,10,19,P,125.0
K0099,2.0,C,D,9,12,22,F,100.0
K0101,1.0,B,D,10,12,21,P,312.5
K0102,1.0,A,D,10,13,23,P,468.75
K0103,1.0,B,E,10,14,25,F,300.0
K0104,1.0,E,D,10,12,20,F,125.0
K0106,1.0,E,A,10,16,29,R,400.0
K0107,1.0,C,E,10,14,25,P,200.0
K0108,1.0,A,B,10,11,19,P,156.25
K0109,2.0,A,E,10,15,28,P,400.0
K0110,1.0,D,A,10,13,25,P,375.0
K0111,1.0,D,A,11,15,26,F,300.0
K0113,1.0,A,C,11,13,24,R,250.0
K0114,1.0,C,B,11,12,20,F,156.25
K0118,2.0,A,E,11,15,27,P,500.0
K0120,1.0,B,E,11,15,25,P,375.0
K0122,2.0,D,B,12,16,27,F,200.0
K0123,1.0,C,B,12,13,21,F,156.25
K0124,2.0,E,B,12,17,28,F,300.0
K0126,2.0,A,C,12,14,25,P,250.0
K0127,2.0,B,E,12,16,26,F,375.0
K0128,2.0,E,C,12,15,24,F,250.0
K0129,1.0,A,D,12,15,27,R,375.0
K0130,2.0,D,E,12,14,23,R,100.0
K0132,2.0,A,B,13,14,24,F,125.0
K0133,1.0,B,E,13,16,26,R,468.75
K0134,2.0,B,E,13,18,28,F,375.0
K0135,2.0,A,E,13,18,29,P,500.0
K0136,1.0,E,C,13,16,27,F,200.0
K0137,1.0,D,E,13,15,25,P,100.0
K0138,2.0,A,C,13,16,27,R,200.0
K0140,1.0,D,A,13,16,26,P,468.75
