demand_id,volume,origin,destination,reservation_time,availability_time,due_time,category,fare_per_teu
K0001,2.0,B,E,0,5,15,P,375.0
K0005,1.0,D,B,0,2,12,R,250.0
K0007,2.0,E,C,0,2,13,P,250.0
K0008,1.0,B,A,0,1,11,R,125.0
K0009,1.0,C,D,0,3,12,R,100.0
K0010,1.0,D,A,0,5,15,R,375.0
K0011,1.0,C,A,1,5,15,P,200.0
K0012,2.0,C,A,1,3,14,F,250.0
K0014,1.0,A,B,1,2,11,R,125.0
K0015,1.0,D,E,1,3,13,R,100.0
K0016,1.0,A,E,1,6,18,P,400.0
K0017,2.0,A,B,1,4,14,P,100.0
K0019,1.0,B,C,1,3,11,R,125.0
K0021,1.0,C,D,2,4,13,R,100.0
K0022,2.0,E,D,2,3,11,R,156.25
K0024,1.0,D,A,2,6,17,F,300.0
K0025,2.0,B,C,2,3,11,R,156.25
K0028,1.0,E,D,2,5,15,F,100.0
K0029,2.0,B,E,2,5,16,P,375.0
K0031,2.0,D,E,3,6,15,P,100.0
K0035,1.0,D,C,3,5,15,F,100.0
K0037,2.0,A,E,3,9,21,P,400.0
K0038,2.0,B,E,3,8,19,R,300.0
K0039,1.0,C,E,3,7,16,R,250.0
K0040,2.0,B,E,3,7,17,F,375.0
K0041,1.0,C,B,4,5,14,F,125.0
K0043,1.0,A,C,4,6,16,R,250.0
K0045,1.0,B,D,4,6,16,R,250.0
K0046,1.0,D,E,4,7,16,P,100.0
K0050,2.0,D,E,4,5,15,F,125.0
K0052,1.0,E,C,5,7,17,F,250.0
K0053,1.0,C,D,5,6,16,F,125.0
K0059,2.0,B,D,5,9,20,P,200.0
K0062,1.0,D,E,6,8,17,P,100.0
K0064,1.0,A,B,6,9,19,F,100.0
K0067,1.0,C,B,6,9,18,R,100.0
K0068,1.0,C,A,6,10,20,P,200.0
K0073,1.0,E,B,7,12,23,P,300.0
K0074,1.0,A,C,7,11,21,F,200.0
K0075,1.0,B,E,7,10,22,P,375.0
K0076,1.0,D,E,7,8,16,F,156.25
K0077,1.0,D,B,7,10,20,F,200.0
K0079,1.0,C,E,7,11,22,R,200.0
K0080,2.0,D,C,7,9,19,P,100.0
K0081,1.0,E,D,8,11,20,F,100.0
K0082,1.0,B,C,8,9,19,P,125.0
K0083,1.0,B,A,8,11,21,R,100.0
K0085,2.0,D,A,8,12,24,F,300.0
K0086,1.0,C,B,8,11,21,P,100.0
K0087,1.0,C,D,8,9,17,F,156.25
K0089,2.0,C,A,8,12,23,R,200.0
K0090,2.0,B,C,8,11,19,P,125.0
K0092,1.0,E,A,9,14,27,R,400.0
K0093,1.0,D,B,9,11,20,F,312.5
K0094,1.0,C,B,9,10,19,F,125.0
K0095,2.0,B,A,9,11,19,P,125.0
K0097,2.0,A,D,9,13,23,R,375.0
K0098,1.0,B,A,9,10,18,P,156.25
K0099,1.0,C,E,9,13,24,P,200.0
K0100,2.0,B,C,9,12,22,P,100.0
K0101,2.0,A,E,10,15,26,F,500.0
K0102,1.0,C,E,10,14,24,P,200.0
K0103,1.0,E,C,10,13,23,F,200.0
K0106,2.0,C,B,10,11,21,R,125.0
K0107,1.0,D,E,10,12,20,F,125.0
K0108,1.0,B,A,10,13,21,F,125.0
K0109,1.0,B,C,10,11,19,F,156.25
K0110,2.0,C,D,10,13,22,R,100.0
K0112,1.0,A,D,11,16,26,P,375.0
K0113,1.0,D,B,11,13,24,P,250.0
K0114,1.0,E,B,11,16,28,F,300.0
K0117,1.0,A,C,11,14,25,F,200.0
K0119,2.0,D,A,11,14,24,R,468.75
K0121,1.0,A,E,12,18,30,P,400.0
K0122,1.0,C,B,12,13,23,F,125.0
K0123,2.0,B,E,12,16,28,P,300.0
K0124,1.0,C,D,12,13,23,P,125.0
K0129,1.0,E,D,12,14,24,F,100.0
K0131,2.0,B,A,13,16,24,R,125.0
K0132,2.0,D,A,13,16,28,F,375.0
K0133,1.0,B,D,13,15,26,F,250.0
K0134,1.0,C,D,13,16,25,F,100.0
K0136,1.0,D,E,13,16,25,R,100.0
K0139,1.0,D,A,13,18,28,P,375.0
K0140,2.0,E,A,13,18,29,R,500.0
