run_key,service_family,capacity_teu,policy_key,reproduction_class,configuration_fingerprint,demand_fingerprint,solver_backend,completed,requested_request_count,accepted_request_count,processed_booking_count,processed_status_count,ordinary_rejection_count,feasibility_rejection_count,solver_failure_count,requested_volume_teu,accepted_volume_teu,final_barge_volume_teu,truck_volume_teu,gross_revenue,truck_penalty,net_revenue,afr_arc_pct,nfr_arc_pct,afr_weighted_pct,nfr_weighted_pct,afr_sailing_peak_pct,nfr_sailing_peak_pct,vtr_pct,vfb_pct,vob_pct,voa_count_pct,voa_volume_pct,solving_time_seconds,prevalidation_available
service_family_1__capacity_10__dca,service_family_1,10,dca,controlled_substitute_input,7ee5b5ea3d29a6efce02e5611f6137b2e11df612e97a96c62c910324293cc473,9987096abb4c217cd2dca3c307599e4d231c47a2e02c416a6b0ee28128626944,cplex,True,800,351,800,0,291,158,0,1076.0,447.0,447.0,0.0,103237.5,0.0,103237.5,83.39285714285715,83.39285714285715,83.39285714285714,83.39285714285714,87.5,87.5,0.0,41.54275092936803,41.54275092936803,43.875,41.54275092936803,27.522477397986222,False
service_family_1__capacity_10__pr,service_family_1,10,pr,controlled_substitute_input,7ee5b5ea3d29a6efce02e5611f6137b2e11df612e97a96c62c910324293cc473,9987096abb4c217cd2dca3c307599e4d231c47a2e02c416a6b0ee28128626944,cplex_ce_aware,True,800,356,800,20,289,155,0,1076.0,453.0,453.0,0.0,103443.75,0.0,103443.75,82.85714285714285,82.85714285714285,82.85714285714286,82.85714285714286,87.5,87.5,0.0,42.100371747211895,42.100371747211895,44.5,42.100371747211895,1973.9830365600064,False
service_family_1__capacity_10__fr,service_family_1,10,fr,controlled_substitute_input,7ee5b5ea3d29a6efce02e5611f6137b2e11df612e97a96c62c910324293cc473,9987096abb4c217cd2dca3c307599e4d231c47a2e02c416a6b0ee28128626944,cplex_ce_aware,True,800,641,800,0,159,0,0,1076.0,818.98018337249,379.02260250792904,439.957580864561,206987.1893525987,89093.23185979806,117893.95749280065,80.89545805975142,80.89545805975142,80.89545805975142,80.89545805975142,86.78259818360321,86.78259818360321,40.888251009717564,35.225148931963666,76.11339994168122,80.125,76.11339994168122,9394.013592818985,True
service_family_1__capacity_20__dca,service_family_1,20,dca,controlled_substitute_input,24ae2302a187e1c1550d1ccd5b26ee0dce34dfeebe76c3cf1afba4717c82da6d,9987096abb4c217cd2dca3c307599e4d231c47a2e02c416a6b0ee28128626944,cplex,True,800,608,800,0,124,68,0,1076.0,803.0,803.0,0.0,192868.75,0.0,192868.75,77.05357142857142,77.05357142857142,77.05357142857143,77.05357142857143,86.42857142857142,86.42857142857142,0.0,74.62825278810409,74.62825278810409,76.0,74.62825278810409,30.175572628038935,True
service_family_1__capacity_20__pr,service_family_1,20,pr,controlled_substitute_input,24ae2302a187e1c1550d1ccd5b26ee0dce34dfeebe76c3cf1afba4717c82da6d,9987096abb4c217cd2dca3c307599e4d231c47a2e02c416a6b0ee28128626944,cplex_ce_aware,True,800,604,800,20,122,74,0,1076.0,793.0,793.0,0.0,189750.0,0.0,189750.0,75.84821428571429,75.84821428571429,75.84821428571429,75.84821428571429,85.89285714285715,85.89285714285715,0.0,73.69888475836431,73.69888475836431,75.5,73.69888475836431,4482.009635626979,True
service_family_1__capacity_20__fr,service_family_1,20,fr,controlled_substitute_input,24ae2302a187e1c1550d1ccd5b26ee0dce34dfeebe76c3cf1afba4717c82da6d,9987096abb4c217cd2dca3c307599e4d231c47a2e02c416a6b0ee28128626944,cplex_ce_aware,True,800,738,800,0,62,0,0,1076.0,989.0,777.0,212.0,239912.5,34175.0,205737.5,76.47321428571429,76.47321428571429,76.47321428571429,76.47321428571429,86.25,86.25,19.702602230483272,72.21189591078067,91.91449814126393,92.25,91.91449814126393,12936.737101464008,True
service_family_1__capacity_30__dca,service_family_1,30,dca,controlled_substitute_input,1e20152a9b23b0c46aa6a44c5a099bc75df89344e3402749edd0f4fa3f9cf1f6,9987096abb4c217cd2dca3c307599e4d231c47a2e02c416a6b0ee28128626944,cplex,True,800,769,800,0,15,16,0,1076.0,1031.0,1031.0,0.0,242387.5,0.0,242387.5,64.76190476190476,64.76190476190476,64.76190476190476,64.76190476190476,81.19047619047619,81.19047619047619,0.0,95.817843866171,95.817843866171,96.125,95.817843866171,33.770059454021975,True
service_family_1__capacity_30__pr,service_family_1,30,pr,controlled_substitute_input,1e20152a9b23b0c46aa6a44c5a099bc75df89344e3402749edd0f4fa3f9cf1f6,9987096abb4c217cd2dca3c307599e4d231c47a2e02c416a6b0ee28128626944,cplex_ce_aware,True,800,761,800,20,21,18,0,1076.0,1018.0,1018.0,0.0,238606.25,0.0,238606.25,64.25595238095238,64.25595238095238,64.25595238095238,64.25595238095238,80.11904761904762,80.11904761904762,0.0,94.6096654275093,94.6096654275093,95.125,94.6096654275093,6435.62134824699,True
service_family_1__capacity_30__fr,service_family_1,30,fr,controlled_substitute_input,1e20152a9b23b0c46aa6a44c5a099bc75df89344e3402749edd0f4fa3f9cf1f6,9987096abb4c217cd2dca3c307599e4d231c47a2e02c416a6b0ee28128626944,cplex_ce_aware,True,800,798,800,0,2,0,0,1076.0,1073.0,1039.0,34.0,252418.75,4875.0,247543.75,64.25595238095238,64.25595238095238,64.25595238095238,64.25595238095238,80.35714285714286,80.35714285714286,3.159851301115242,96.56133828996282,99.72118959107807,99.75,99.72118959107807,15205.851106504037,True
service_family_1__capacity_40__dca,service_family_1,40,dca,controlled_substitute_input,fcbfd30269084afd48eb435dafc757baa52f01959591ef88adeee1ebff5908dd,9987096abb4c217cd2dca3c307599e4d231c47a2e02c416a6b0ee28128626944,cplex,True,800,800,800,0,0,0,0,1076.0,1076.0,1076.0,0.0,252793.75,0.0,252793.75,50.379464285714285,50.379464285714285,50.379464285714285,50.379464285714285,66.07142857142857,66.07142857142857,0.0,100.0,100.0,100.0,100.0,34.208714642969426,True
service_family_1__capacity_40__pr,service_family_1,40,pr,controlled_substitute_input,fcbfd30269084afd48eb435dafc757baa52f01959591ef88adeee1ebff5908dd,9987096abb4c217cd2dca3c307599e4d231c47a2e02c416a6b0ee28128626944,cplex_ce_aware,True,800,790,800,20,6,4,0,1076.0,1061.0,1061.0,0.0,248262.5,0.0,248262.5,50.29017857142858,50.29017857142858,50.29017857142857,50.29017857142857,67.76785714285715,67.76785714285715,0.0,98.60594795539033,98.60594795539033,98.75,98.60594795539033,6963.239420594997,True
service_family_1__capacity_40__fr,service_family_1,40,fr,controlled_substitute_input,fcbfd30269084afd48eb435dafc757baa52f01959591ef88adeee1ebff5908dd,9987096abb4c217cd2dca3c307599e4d231c47a2e02c416a6b0ee28128626944,cplex_ce_aware,True,800,800,800,0,0,0,0,1076.0,1076.0,1076.0,0.0,252793.75,0.0,252793.75,52.12053571428571,52.12053571428571,52.120535714285715,52.120535714285715,67.05357142857142,67.05357142857142,0.0,100.0,100.0,100.0,100.0,15195.776236442965,True
service_family_2__capacity_10__dca,service_family_2,10,dca,controlled_substitute_input,ed1fd83348ae18b3319eb9f21bb2dbc72d370d47b9d9d6bad4774f361eccda4a,9987096abb4c217cd2dca3c307599e4d231c47a2e02c416a6b0ee28128626944,cplex,True,800,610,800,0,116,74,0,1076.0,798.0,798.0,0.0,196512.5,0.0,196512.5,81.29464285714285,81.29464285714285,81.29464285714286,81.29464285714286,89.64285714285715,89.64285714285715,0.0,74.1635687732342,74.1635687732342,76.25,74.1635687732342,32.80749218398705,True
