reservation_time,slot_number,forecast_id,origin,destination,availability_time,due_time,category,fare_per_teu,volume_outcomes
0,1,FC0001,D,E,2,10,P,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
0,2,FC0002,B,C,1,9,R,156.25,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
0,3,FC0003,A,D,3,13,P,468.75,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
0,4,FC0004,A,E,6,17,P,500.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
0,5,FC0005,E,C,4,15,F,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
0,6,FC0006,B,D,3,13,F,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
0,7,FC0007,B,A,3,13,P,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
0,8,FC0008,D,C,1,11,R,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
0,9,FC0009,D,B,4,14,P,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
0,10,FC0010,D,C,3,13,F,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,1,FC0011,C,A,4,13,R,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,2,FC0012,A,C,5,15,R,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,3,FC0013,E,D,4,13,R,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,4,FC0014,E,D,2,11,F,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,5,FC0015,D,B,4,15,P,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,6,FC0016,B,A,4,13,F,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,7,FC0017,B,C,2,10,R,156.25,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,8,FC0018,E,B,6,17,P,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,9,FC0019,A,B,3,12,P,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,10,FC0020,E,A,6,17,P,500.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,1,FC0021,B,C,5,14,P,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,2,FC0022,E,D,4,13,R,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,3,FC0023,B,C,5,15,F,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,4,FC0024,A,B,3,12,F,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,5,FC0025,D,E,3,13,P,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,6,FC0026,B,E,7,18,R,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,7,FC0027,B,E,5,15,F,468.75,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,8,FC0028,B,C,5,15,P,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,9,FC0029,E,B,6,16,P,375.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,10,FC0030,B,E,7,18,P,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,1,FC0031,A,B,4,14,F,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,2,FC0032,E,A,9,20,R,500.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,3,FC0033,E,C,7,16,R,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,4,FC0034,D,A,6,16,R,468.75,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,5,FC0035,D,A,7,19,R,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,6,FC0036,A,C,7,18,R,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,7,FC0037,A,E,7,18,F,625.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,8,FC0038,C,E,6,16,P,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,9,FC0039,E,D,5,14,P,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,10,FC0040,B,D,5,16,F,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,1,FC0041,A,E,10,23,R,400.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,2,FC0042,E,A,10,22,R,400.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,3,FC0043,B,A,5,13,R,156.25,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,4,FC0044,E,D,5,13,R,156.25,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,5,FC0045,D,B,6,16,R,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,6,FC0046,B,A,7,17,F,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,7,FC0047,A,D,9,21,P,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,8,FC0048,A,D,9,21,P,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,9,FC0049,B,A,5,13,P,156.25,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,10,FC0050,C,E,7,18,F,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,1,FC0051,E,A,10,21,F,500.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,2,FC0052,B,E,10,22,F,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,3,FC0053,C,B,8,17,P,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,4,FC0054,B,E,9,21,P,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,5,FC0055,B,D,9,18,F,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,6,FC0056,C,E,9,20,R,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,7,FC0057,C,B,8,18,R,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,8,FC0058,B,C,8,16,F,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,9,FC0059,C,E,8,19,P,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,10,FC0060,C,B,6,16,F,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
6,1,FC0061,A,C,9,18,F,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
6,2,FC0062,C,D,7,15,P,156.25,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
6,3,FC0063,A,B,9,19,P,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
6,4,FC0064,E,D,8,17,P,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
6,5,FC0065,E,B,10,20,R,375.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
