reservation_time,slot_number,forecast_id,origin,destination,availability_time,due_time,category,fare_per_teu,volume_outcomes
0,1,FC0001,D,A,3,14,F,375.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
0,2,FC0002,C,B,1,10,R,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
0,3,FC0003,D,A,3,15,F,375.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
0,4,FC0004,D,B,2,13,R,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
0,5,FC0005,A,B,1,10,F,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
0,6,FC0006,A,C,2,11,R,312.5,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
0,7,FC0007,A,E,6,19,R,400.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
0,8,FC0008,C,A,4,13,P,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
0,9,FC0009,D,B,3,14,P,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
0,10,FC0010,A,D,5,17,R,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,1,FC0011,A,C,4,13,F,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,2,FC0012,B,D,5,14,F,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,3,FC0013,C,E,5,16,F,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,4,FC0014,D,E,4,13,F,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,5,FC0015,E,B,5,17,P,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,6,FC0016,D,C,3,11,R,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,7,FC0017,D,A,4,16,F,375.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,8,FC0018,A,D,5,16,P,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,9,FC0019,B,E,5,17,P,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
1,10,FC0020,C,E,3,13,P,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,1,FC0021,A,E,6,19,R,500.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,2,FC0022,E,D,3,13,P,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,3,FC0023,B,E,5,15,P,468.75,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,4,FC0024,C,A,4,15,P,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,5,FC0025,E,B,5,15,F,468.75,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,6,FC0026,A,C,4,15,P,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,7,FC0027,D,A,7,19,F,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,8,FC0028,B,C,5,15,F,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,9,FC0029,D,E,5,14,P,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
2,10,FC0030,C,E,4,14,P,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,1,FC0031,E,A,8,20,R,400.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,2,FC0032,C,B,6,16,R,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,3,FC0033,E,A,9,20,R,500.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,4,FC0034,A,B,6,16,P,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,5,FC0035,B,C,6,14,R,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,6,FC0036,A,C,7,17,F,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,7,FC0037,B,C,4,12,R,156.25,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,8,FC0038,D,C,4,14,F,125.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,9,FC0039,A,B,5,14,F,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
3,10,FC0040,E,A,8,21,F,400.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,1,FC0041,B,E,9,20,R,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,2,FC0042,A,D,9,20,F,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,3,FC0043,E,C,6,15,F,312.5,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,4,FC0044,D,B,6,16,P,250.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,5,FC0045,D,B,6,15,R,312.5,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,6,FC0046,B,E,7,19,F,375.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,7,FC0047,D,B,7,18,F,200.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,8,FC0048,B,E,8,20,R,300.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,9,FC0049,D,A,8,18,R,375.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
4,10,FC0050,A,E,9,21,R,400.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
5,1,FC0051,C,D,7,17,F,100.0,"[{""probability"":0.4,""volume"":0},{""probability"":0.4,""volume"":1},{""probability"":0.2,""volume"":2}]"
