service_family,capacity_teu,water_factor,paper_afr_pct,paper_nfr_pct,paper_vt_pct,paper_vfb_pct,paper_vob_pct,paper_note,controlled_afr_pct,controlled_nfr_pct,controlled_vtr_pct,controlled_vfb_pct,controlled_vob_pct,afr_delta_pp,nfr_delta_pp,vtr_minus_paper_vt_pp,vfb_delta_pp,vob_delta_pp
service_family_1,10,1.0,98,98,2,35,37,,82.85714285714285,82.85714285714285,0.0,42.100371747211895,42.100371747211895,-15.142857142857153,-15.142857142857153,-2.0,7.100371747211895,5.100371747211895
service_family_1,10,0.9,99,89,7,31,37,,83.63095238095238,75.26785714285714,4.275092936802974,36.80297397769517,41.078066914498145,-15.36904761904762,-13.732142857142861,-2.7249070631970262,5.802973977695167,4.0780669144981445
service_family_1,10,0.8,100,80,11,26,37,,85.04464285714286,68.03571428571429,8.45724907063197,31.87732342007435,40.33457249070632,-14.955357142857139,-11.964285714285708,-2.5427509293680295,5.877323420074351,3.3345724907063214
service_family_1,10,0.7,99,69,16,22,38,,85.71428571428571,60.0,12.825278810408921,27.78810408921933,40.613382899628256,-13.285714285714292,-9.0,-3.1747211895910787,5.788104089219331,2.613382899628256
service_family_1,20,1.0,96,96,3,56,59,,75.84821428571429,75.84821428571429,0.0,73.69888475836431,73.69888475836431,-20.151785714285708,-20.151785714285708,-3.0,17.698884758364315,14.698884758364315
service_family_1,20,0.9,97,87,9,49,59,,78.27380952380952,70.44642857142858,4.739776951672862,68.02973977695167,72.76951672862454,-18.72619047619048,-16.553571428571416,-4.260223048327138,19.029739776951672,13.769516728624538
service_family_1,20,0.8,98,79,16,43,59,,80.02232142857143,64.01785714285715,11.338289962825279,60.50185873605948,71.84014869888476,-17.97767857142857,-14.982142857142847,-4.661710037174721,17.501858736059482,12.84014869888476
service_family_1,20,0.7,98,69,22,37,59,,81.95153061224491,57.36607142857143,17.936802973977695,53.531598513011154,71.46840148698885,-16.04846938775509,-11.63392857142857,-4.063197026022305,16.531598513011154,12.468401486988853
service_family_1,30,1.0,90,90,1,70,71,,64.25595238095238,64.25595238095238,0.0,94.6096654275093,94.6096654275093,-25.74404761904762,-25.74404761904762,-1.0,24.6096654275093,23.6096654275093
service_family_1,30,0.9,94,84,7,62,69,,68.1547619047619,61.339285714285715,1.579925650557621,91.35687732342008,92.93680297397769,-25.845238095238102,-22.660714285714285,-5.420074349442379,29.35687732342008,23.93680297397769
service_family_1,30,0.8,96,76,15,54,69,,73.47470238095238,58.7797619047619,7.063197026022305,85.68773234200744,92.75092936802974,-22.52529761904762,-17.220238095238102,-7.936802973977695,31.687732342007436,23.750929368029745
service_family_1,30,0.7,96,67,22,47,69,,76.27551020408163,53.39285714285714,14.962825278810408,76.6728624535316,91.635687732342,-19.724489795918373,-13.607142857142861,-7.037174721189592,29.672862453531593,22.635687732342006
service_family_1,40,1.0,85,85,1,78,79,,50.29017857142858,50.29017857142858,0.0,98.60594795539033,98.60594795539033,-34.70982142857142,-34.70982142857142,-1.0,20.605947955390334,19.605947955390334
